City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,bazarnyy karabulak,52.2683,46.4144,12.85,84,54,2.98,RU,1693168552
465,biryusinsk,55.9634,97.8235,13.71,97,60,2.1,RU,1693168552
466,kushiro,42.975,144.3747,20.9,98,100,2.31,JP,1693168552
467,manokwari,-0.8667,134.0833,25.83,77,95,1.48,ID,1693168552
468,yatsuomachi-higashikumisaka,36.5667,137.1333,23.7,86,84,1.79,JP,1693168552
469,lido di ostia,41.7321,12.2765,30.02,65,0,4.12,IT,1693168552
470,konosha,60.9736,40.257,8.95,74,100,1.88,RU,1693168553
471,comodoro rivadavia,-45.8667,-67.5,14.92,23,0,6.69,AR,1693168553
472,ajdabiya,30.7554,20.2263,26.38,75,0,3.84,LY,1693168553
473,mournies,35.4764,24.0092,26.57,69,0,2.57,GR,1693168553
474,kikwit,-5.041,18.8162,29.59,34,24,0.69,CD,1693168553
475,juneau,58.3019,-134.4197,18.95,100,20,5.14,US,1693168265
476,terrigal,-33.45,151.45,12.06,86,98,1.6,AU,1693168554
477,xai-xai,-25.0519,33.6442,19.06,61,55,6.67,MZ,1693168554
478,mongu,-15.2484,23.1274,26.88,15,24,5.77,ZM,1693168554
479,porto cristo,39.5395,3.333,19.62,72,80,10.08,ES,1693168554
480,nurota,40.5614,65.6886,17.31,30,67,1.26,UZ,1693168554
481,cabedelo,-6.9811,-34.8339,27.37,85,1,3.76,BR,1693168555
482,whakatane,-37.9585,176.9854,9.87,84,100,0.89,NZ,1693168260
483,wonosobo,-7.36,109.9025,16.27,93,25,0.99,ID,1693168555
484,hami,42.8,93.45,28.75,15,0,9.99,CN,1693168555
485,acarau,-2.8856,-40.12,26.86,76,4,6.5,BR,1693168555
486,shamva,-17.3116,31.5756,16.27,74,7,4.23,ZW,1693168555
487,pushkinskiye gory,57.0209,28.9103,15.82,96,92,1.26,RU,1693168556
488,sarmiento,-45.5882,-69.07,10.51,44,100,8.16,AR,1693168556
489,buala,-8.145,159.5921,26.09,82,98,2.71,SB,1693168556
490,gulf shores,30.246,-87.7008,37.03,55,97,6.51,US,1693168556
491,cooper's town,26.8667,-77.5167,28.81,75,39,4.84,BS,1693168556
492,moree,-29.4667,149.85,11.12,86,25,3.34,AU,1693168556
493,greenland,43.0362,-70.8328,23.66,78,75,3.6,US,1693168557
494,saint-pierre,-21.3393,55.4781,20.82,73,75,1.54,RE,1693168557
495,tucuma,-0.1833,-50.05,28.98,68,24,4.96,BR,1693168557
496,laguna,38.421,-121.4238,35.6,30,0,2.57,US,1693168557
497,sao raimundo nonato,-9.0153,-42.6994,32.94,21,12,2.45,BR,1693168557
498,barah,13.7,30.3667,29.02,50,75,3.21,SD,1693168557
499,ilsede,52.2667,10.2,14.95,88,67,1.34,DE,1693168558
500,norman gardens,-23.3224,150.5393,14.29,82,1,2.06,AU,1693168558
501,la foa,-21.7108,165.8276,18.86,63,78,1.79,NC,1693168558
502,island harbour,50.724,-1.2758,17.21,78,77,1.79,GB,1693168558
503,niafunke,15.9322,-3.9906,32.16,44,98,5.68,ML,1693168558
504,latur,18.4,76.5833,22.2,82,33,4.98,IN,1693168559
505,kolyvan',55.3053,82.7391,13.79,83,90,3.01,RU,1693168559
506,kodinsk,58.6881,99.1844,11.84,92,99,1.02,RU,1693168559
507,alpatovo,43.7028,45.2415,17.95,65,0,2.66,RU,1693168559
508,port-gentil,-0.7193,8.7815,24.17,88,47,5.56,GA,1693168559
509,auxerre,47.8,3.5667,15.91,61,100,2.93,FR,1693168559
510,trevelin,-43.0858,-71.4639,11.71,79,100,3.46,AR,1693168560
511,guankou,28.15,113.6333,20.89,98,100,2.17,CN,1693168560
512,lae,-6.7221,146.9847,24.1,88,100,1.07,PG,1693168560
513,argostolion,38.1811,20.489,27.04,69,0,2.57,GR,1693168560
514,inyonga,-6.7167,32.0667,24.17,31,12,5.44,TZ,1693168560
515,otofuke,42.9917,143.2003,21.81,95,94,0.96,JP,1693168560
516,arrifes,37.7667,-25.7,22.14,78,20,4.63,PT,1693168561
517,sarpang,26.864,90.2674,24.11,98,100,0.69,BT,1693168561
518,palikir - national government center,6.9248,158.1611,23.41,100,100,1.03,FM,1693168561
519,fraserburgh,57.6874,-2.0184,13.02,83,48,2.01,GB,1693168561
520,huarmey,-10.0681,-78.1522,21.93,71,4,4.73,PE,1693168561
521,fauske,67.2588,15.3918,17.02,68,99,3.97,NO,1693168562
522,alaca,40.1683,34.8425,16.66,71,0,2.34,TR,1693168562
523,sechura,-5.5569,-80.8222,25.8,57,2,6.91,PE,1693168562
524,marsh harbour,26.5412,-77.0636,29.21,71,26,4.61,BS,1693168513
525,namibe,-15.1961,12.1522,16.74,82,6,2.97,AO,1693168563
526,mosrentgen,55.6183,37.4711,15.91,94,24,2.0,RU,1693168563
527,tuba city,36.135,-111.2399,31.93,21,15,0.8,US,1693168564
528,paradip garh,20.3167,86.6167,27.99,77,74,3.34,IN,1693168564
529,tvoroyri,61.5556,-6.8111,11.43,91,100,6.33,FO,1693168564
530,padang,-0.9492,100.3543,25.17,90,86,2.04,ID,1693168564
531,gizo,-8.103,156.8419,26.82,82,49,7.06,SB,1693168565
532,pauini,-7.7136,-66.9764,35.5,33,82,1.66,BR,1693168565
533,houlton,46.1262,-67.8403,21.23,59,75,4.12,US,1693168565
534,cabo san lucas,22.8909,-109.9124,34.17,58,20,5.14,MX,1693168565
535,mikun',62.3547,50.0771,4.61,96,90,2.41,RU,1693168565
536,gwanda,-20.9333,29.0,11.99,70,20,4.43,ZW,1693168566
